,others
2016-03-01,8742.317873022586
2016-04-01,9720.841259495264
2016-05-01,11018.031073783595
2016-06-01,8969.620153680327
2016-07-01,9420.546893349945
2016-08-01,8328.20903981026
2016-09-01,8854.278435535474
2016-10-01,9602.622739041732
2016-11-01,9678.837767623852
2016-12-01,8943.603383429345
2017-01-01,8605.592900104704
2017-02-01,9321.775577570517
2017-03-01,7908.245730943783
2017-04-01,8622.793674708962
2017-05-01,9601.84628165596
2017-06-01,7347.7045984867855
2017-07-01,7648.583802557116
2017-08-01,7053.522750486809
2017-09-01,7035.939624661418
2017-10-01,7196.319370252484
2017-11-01,7257.259368762157
2017-12-01,6430.515927944358
2018-01-01,6002.021426675024
2018-02-01,6354.162054207124
