,suzuki
2016-03-01,10189.854466758183
2016-04-01,9254.586487280332
2016-05-01,9519.436759440297
2016-06-01,8400.022076130472
2016-07-01,8368.249276351276
2016-08-01,8158.8832013175925
2016-09-01,8387.25005821034
2016-10-01,7239.324304342283
2016-11-01,7801.68840399595
2016-12-01,7872.333139990394
2017-01-01,7076.278411857826
2017-02-01,6192.803594778801
2017-03-01,6283.5100389102645
2017-04-01,5782.4054296030845
2017-05-01,5353.24748643134
2017-06-01,4662.28852610753
2017-07-01,4184.829105307642
2017-08-01,4112.80696882987
2017-09-01,4139.936657584178
2017-10-01,2957.1851114894016
2017-11-01,3423.7797557905733
2017-12-01,3403.977401934761
2018-01-01,2535.608374958637
2018-02-01,1556.2620805416034
